Indicator Name,Indicator Code,Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Aruba,ABW,4.000446991,3.997624514,3.999586724,6.00060016,11.24182224,1.226731641,7.781030881,6.688119107,1.166555089,3.682011554,-0.692928686,-2.578237954,1.568545552,,,,,,,
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Australia,AUS,-0.239267129,0.454063604,4.085981791,3.966137304,3.939983314,4.181423944,3.972448021,4.585530281,5.15985438,3.951352155,2.071616393,3.903791221,3.272264035,4.155794748,2.959140943,3.081394099,3.564177973,3.832065489,1.448372288,2.256937114
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Austria,AUT,3.441627414,2.093524731,0.52680946,2.402118767,2.667983664,2.466643934,2.308910875,3.785542748,3.539127804,3.667588836,0.857402601,1.693729863,0.865919899,2.589579854,2.400671933,3.669790293,3.705948764,1.396153597,-3.809960964,2.314672923
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Azerbaijan,AZE,-0.7,-22.6,-23.1,-19.7,-11.8,1.3,5.8,10,7.4,11.1,9.9,10.6,11.2,10.2,26.4,34.5,25.049,10.8,9.3,5
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Bahamas, The",BHS,-4.181783464,-3.825582741,0.307806453,3.148916321,4.378750977,4.223530213,2.062240199,4.716473825,7.144129932,4.1492464,2.625627121,2.704629513,-1.264744629,0.882884233,3.39529267,2.516863841,1.446522215,-2.323937248,-4.859965496,0.178735484
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bahrain,BHR,11.22999972,6.689996479,12.87000742,-0.250001,3.929992241,4.110005383,3.09299925,4.790002365,4.3000008,5.29999345,4.6,5.26,7.2,5.6,7.8,6.7,8.34,6.3,3.1,4.5
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bangladesh,BGD,3.339355537,5.039133121,4.57437555,4.084703532,4.92505218,4.621967972,5.387551729,5.227531388,4.869230207,5.94450677,5.274014114,4.415410923,5.255994272,6.2705029,5.955478473,6.629337175,6.427842521,6.190431553,5.741158626,6.069339864
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Barbados,BRB,-2.912053247,-4.978795395,0.988418782,3.974816249,1.490133032,1.834015519,6.394727115,4.11236353,2.592656313,2.31177435,-5.054046632,-3.545464627,2.007990962,3.685849147,3.182437534,3.419221671,0.477682124,0.18000001,-5.300000023,
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belarus,BLR,-1.2,-9.6,-7.6,-11.7,-10.4,2.8,11.4,8.4,3.4,5.8,4.725306006,5.045267318,7.043192675,11.44974293,9.440903631,9.997986694,8.647315659,10.24824592,0.163535159,7.7
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belgium,BEL,1.833074297,1.53065481,-0.961873091,3.226971469,2.384757222,1.424414966,3.734871266,1.928914976,3.539694667,3.669781186,0.807692688,1.359885979,0.806597263,3.26743855,1.759701594,2.718122644,2.919766442,0.969643562,-2.800848811,2.237754851
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belize,BLZ,10.49704514,12.03575736,6.276565634,0.157937823,0.643967584,1.428722652,3.545183788,3.740955126,8.780368083,13.03876739,4.957173674,5.098747523,9.321356964,4.620540646,3.027989343,4.653047808,1.340362177,3.491610966,0,2.9
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Benin,BEN,4.72250936,4.009980077,3.519343057,4.372455552,4.60426161,5.547403338,6.148070522,4.54074841,4.697226938,5.8,5,4.5,3.9,3.1,2.9,4.099997316,4.6,5.1,3.8,3
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bermuda,BMU,-3.534383404,-0.059737157,3.008567444,0.599613153,4.399147856,2.600476046,4.6,3.9,3.382648714,9.317155577,6.520286115,-1.518770043,3.474806035,2.595088372,1.976036588,5.620910927,2.931940035,0.933619209,-4.826052066,-1.899617174
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bhutan,BTN,4.896039661,2.082960362,3.1923737,3.51051213,6.037041491,6.193996054,5.396671012,5.569651658,6.866220901,7.517147791,6.987055134,8.916218775,8.57862967,7.966329145,8.773446328,6.849357759,17.92568395,4.669293849,6.728383555,7.443435541
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bolivia,BOL,5.266522073,1.646500041,4.269295333,4.667266268,4.678276905,4.361340311,4.954208776,5.029354636,0.426885364,2.507810988,1.683799034,2.485565815,2.711339832,4.173295561,4.4214331,4.797008739,4.564384483,6.14849781,3.35699943,4.126723356
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bosnia and Herzegovina,BIH,,,,,20.80000117,88.95766405,34.38957514,15.59999615,9.6,5.5,4.4,5.3,4,6.1,5,6.2,6.838,5.42,-2.91,0.8
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Botswana,BWA,7.458708767,2.917070335,1.916107351,3.627915946,4.403849208,5.552162009,10.16965501,10.57330467,5.06558409,5.88557942,3.544101928,9.009374011,6.275074843,5.977857304,1.642293696,5.135704524,4.808605657,2.94054921,-4.825140663,7.014443318
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brazil,BRA,1.512067461,-0.466914924,4.665150948,5.334359877,4.416831993,2.15,3.374938815,0.037879685,0.250857887,4.308208022,1.3103698,2.658326818,1.149135078,5.712292376,3.159673613,3.95536037,6.09154395,5.171269363,-0.32824804,7.533615453
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brunei Darussalam,BRN,3.145941252,4.758580079,0.304573971,3.145396702,4.478707096,2.878318295,-1.471171731,-0.558508393,3.052156067,2.84942187,2.744041404,3.872097238,2.903955035,0.504317943,0.38750691,4.397720432,0.15458146,-1.938880222,-1.765371494,2.598965911
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bulgaria,BGR,-8.445355216,-7.272387858,-1.480214784,1.81801096,2.860189461,-9.030054663,-1.645530387,4.861361965,1.964141473,5.725970033,4.151430199,4.650199935,5.505369309,6.748294215,6.35830682,6.562304264,6.4,6.2,-5.5,0.4
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burkina Faso,BFA,9.069984461,0.232710762,3.461384933,1.315007275,5.71637387,11.01474387,6.316834731,7.307719635,7.404178965,1.847021335,6.648547524,4.699522799,8.044413083,4.634713935,8.651617105,6.767809454,3.606206563,5.800005065,2.965439145,7.886165764
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burundi,BDI,4.996836457,1.009998365,-6.24,-3.83,-7.92,-8,-1.59,4.75,-1.01,-0.856864057,2.055807106,4.446519421,-1.223727958,4.833657761,0.9,5.384657398,4.785831951,5.048118782,3.468425427,3.785902542
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cambodia,KHM,,,,9.099464507,6.442902796,5.412339378,5.619792924,5.009032751,11.90975793,8.766785439,8.038631629,6.687880848,8.505898789,10.34052873,13.25008556,10.77108716,10.21257181,6.691577475,0.086696959,5.963078575
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cameroon,CMR,-3.808599371,-3.100003211,-3.199997355,-2.500000928,3.299996146,5.000004424,5.099998069,5.039252944,4.393810764,4.199996332,4.514271087,4.009044571,4.030993315,3.701854054,2.296654441,3.222146585,3.5,2.9,2,3.2
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Canada,CAN,-2.092163263,0.875192284,2.338542772,4.804210097,2.808429062,1.618799885,4.225916502,4.097432461,5.531762882,5.233288646,1.78380122,2.924529481,1.88107433,3.119976979,3.019057345,2.823032729,2.200021356,0.688726873,-2.76976818,3.214948408
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cape Verde,CPV,1.412752558,3.261195806,7.058092451,6.929803209,7.495447223,4.002845431,5.400178126,7.4,8.600000831,16.8465071,6.137614948,5.282493368,4.683227309,4.28,6.520892274,10.14176376,8.649161162,6.197626719,3.7126421,5.209635058
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cayman Islands,CYM,,,,5.305202786,,,,,,,,,,,,,,,,
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Central African Republic,CAF,-0.552426922,-6.424094388,0.335145801,4.899999089,7.200002317,-4.000001351,5.300002639,4.699993861,3.600002936,2.299999692,0.260982304,-0.582589006,-7.6,1,2.4,3.8,3.7,2,1.7,3.3
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Chad,TCD,8.535137171,8.001443342,-15.70983704,10.13688763,1.236549313,2.214473037,5.653392324,6.951579919,-0.682850222,-0.879681021,11.65813465,8.491209824,14.72166701,33.62937185,17.33253374,0.2,0.2,-0.4,-1.2,13
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Channel Islands,CHI,,,,,,,,,3.770263675,5.826641469,-1.51296126,-1.632206598,-3.202156942,0.224197396,1.377734157,4.882299364,5.898329661,,,
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Chile,CHL,7.969988372,12.27793063,6.986286682,5.708119098,10.62757722,7.413491523,6.605579633,3.230878709,-0.760854812,4.489075523,3.377039177,2.184110474,3.916912908,6.041086578,4.271734528,5.694335721,5.160825562,3.292455343,-1.036431788,6.09520564
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,China,CHN,9.2,14.2,14,13.1,10.9,10,9.3,7.8,7.6,8.4,8.3,9.1,10,10.1,11.3,12.7,14.2,9.6,9.2,10.4
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Colombia,COL,2.277231497,5.032677497,2.365650574,5.835811494,5.202437593,2.055854712,3.430293678,0.56978409,-4.204015244,4.420359693,1.678243586,2.503617795,3.91859564,5.332339018,4.706555934,6.697515258,6.900627655,3.546804886,1.651549245,4.001185174
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Comoros,COM,-5.395598907,8.530923433,3.005937478,-5.276682038,3.610129478,-1.291668416,4.030340682,1.282662443,1.924123666,1.417852661,3.329208572,4.149414597,2.474617737,-0.239934108,4.229885608,1.242150459,0.49099094,0.974927219,1.810339047,2.1
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Congo, Dem. Rep.",ZAR,-8.421051499,-10.50000856,-13.46905054,-3.899996803,0.69999883,-1.023172642,-5.617046598,-1.624154046,-4.270140831,-6.900101756,-2.09987762,3.468384558,5.791419794,6.639888271,7.788041323,5.581257077,6.257754599,6.155043753,2.834384468,7.174203174
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Congo, Rep.",COG,2.4,2.6,-1,-5.5,4,4.3,-0.6,3.7,-2.6,7.6,3.8,4.6,0.8,3.5,7.8,6.137450835,-1.59,5.57,7.46887803,8.751351325
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Costa Rica,CRI,2.571915791,9.152016353,7.413686649,4.7295961,3.920883459,0.886593069,5.578187036,8.397846216,8.222189751,1.800831039,1.076400936,2.902183542,6.404513257,4.259452556,5.886377766,8.779636494,7.93534249,2.722159263,-1.006603197,4.67987932
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cote d'Ivoire,CIV,0.040925169,-0.244560612,-0.192485101,0.811206687,7.125744722,7.729327422,5.719058597,4.752475248,1.586447579,-3.700204692,-0.021230471,-1.430808153,-1.555364663,1.793855153,1.255967959,0.683970709,1.714671732,2.33,3.8,2.4
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Croatia,HRV,-21.08867058,-11.71329066,-8.02558199,5.870474622,6.751857941,5.920290458,6.543642526,1.97676593,-1.042873203,3.750387794,3.655997946,4.878265707,5.371067629,4.128437237,4.279805801,4.935239694,5.059929351,2.169308637,-5.9910529,-1.191274285
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cuba,CUB,-10.6926974,-11.58060298,-14.8781804,0.716930036,2.457201026,7.838750049,2.785004012,0.155720869,6.191203445,5.915865714,3.182230186,1.42859081,3.791364597,5.770878841,11.20171308,12.06580602,7.262136966,4.116828042,1.449116763,2.06463583
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cyprus,CYP,0.7395,9.4,0.7,5.9,6.1,1.848836555,2.348517259,5.043260519,4.846823175,5.042802715,4.0255516,2.091236261,1.934070122,4.224693897,3.909963232,4.125312851,5.130542893,3.626616209,-1.666159464,1.14
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Czech Republic,CZE,-11.61494236,-0.506542351,0.06190425,2.219490049,5.937587255,4.539679076,-0.852524517,-0.235975242,1.679287459,4.185650506,3.097349644,2.149300055,3.766174432,4.742590846,6.752450791,7.020380892,5.735130734,3.099001693,-4.695209037,2.739001292
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Denmark,DNK,1.300427038,1.9754605,-0.08960504,5.525396923,3.06517543,2.834545152,3.198454206,2.160456239,2.560451447,3.528655889,0.704834103,0.46584828,0.383831163,2.296487044,2.445147924,3.394710394,1.583262086,-0.783852225,-5.833739058,1.29561288
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Djibouti,DJI,-4.277616675,-0.017967018,-6.620881286,-0.937342459,-3.488261251,-4.11549878,-0.745872199,0.099378553,2.1790062,0.416213964,2.047764375,2.618562398,3.199959328,3.826476088,3.169601156,4.799864683,5.100061387,5.799962619,4.999503141,
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Dominica,DMA,0.607919456,2.04736255,1.680949196,1.431317406,1.974718446,2.64178511,1.490821515,4.978083423,0.683297289,-2.255305162,-0.181610624,-1.80767337,7.579363152,3.315204626,-0.427904069,4.64576958,3.875462139,7.771314398,-0.737135397,0.334705557
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Dominican Republic,DOM,0.944138918,10.51318199,7.222621369,2.303256394,5.493629296,7.13136736,8.004274434,7.010597727,6.715354088,5.656604886,1.809229485,5.788207312,-0.253358805,1.311958217,9.262750072,10.67115485,8.474624778,5.255649444,3.454054459,7.751220866
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,East Asia & Pacific (all income levels),EAS,4.248061824,2.792821839,2.730221458,3.469138039,4.014085184,4.27128719,3.229802599,-1.056219904,2.327752879,4.165051346,1.948748316,2.937848252,3.67211577,4.627869118,4.079361796,4.849119881,5.685750657,2.489075098,-0.31000306,6.723513191
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,East Asia & Pacific (developing only),EAP,8.207922551,11.02905302,11.27728314,11.0380618,9.890438,9.023994499,7.290264007,2.218206147,6.275356862,7.533841398,6.655182479,7.883733811,8.81129943,9.031577032,9.754833377,10.91275747,12.28999344,8.477631444,7.457777801,9.694949109
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ecuador,ECU,5.193633524,1.512555251,0.295195282,4.702169208,1.75356834,2.400839784,4.053186434,2.112768829,-6.299452715,2.802891601,5.336710835,5.111558627,3.273520507,8.823972378,5.743750704,4.751503081,2.037698436,7.241682859,0.361868469,3.581602486
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Egypt, Arab Rep.",EGY,1.078837978,4.431996111,2.900790798,3.97317218,4.642458776,4.988730567,5.491131498,4.036367055,6.105460417,5.368005985,3.535225672,2.370489088,3.193517698,4.092071611,4.471744472,6.843838194,7.087827427,7.156283566,4.686129558,5.146618791
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,El Salvador,SLV,3.575255777,7.544838244,7.369835173,6.05023145,6.39523577,1.706209457,4.245986733,3.749451452,3.448869306,2.152879729,1.709243182,2.340187774,2.30003827,1.850535583,3.562814501,3.911948645,3.839765177,1.274227301,-3.133046282,1.364783667
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Equatorial Guinea,GNQ,-1.136765899,10.69545234,6.29621399,5.115622512,14.26258663,29.14184537,71.18798538,21.91089822,41.44645341,13.48240772,61.89738421,19.46283403,13.95525032,37.99872685,9.7487276,1.259747203,21.44247706,10.67727259,5.734417435,-0.754527814
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Eritrea,ERI,,,13.4547618,21.221411,2.85837881,9.258839895,7.908684452,1.772582592,0.013480723,-13.12036663,21.24538335,3.005428651,-2.655515364,1.456703534,2.565806966,-0.959170447,1.426514854,-9.793548387,3.87641253,2.203249793
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Estonia,EST,,,,,,5.889895976,11.73635669,6.809689991,-0.27125357,9.697174863,6.281644388,6.560428534,7.765386713,6.342836963,8.853496627,10.0973433,7.492203903,-3.670691255,-14.25787275,2.263524738
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ethiopia,ETH,-7.137292576,-8.672776405,13.142837,3.190201957,6.127508067,12.42591678,3.134063323,-3.458195501,5.16240552,6.072859062,8.301432184,1.514716519,-2.161082482,13.5723613,11.81884442,10.8346294,11.45601535,10.78855411,8.802486543,9.937345319
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Euro area,EMU,2.570915185,1.309933331,-0.73899819,2.428967857,2.340111528,1.460294054,2.500365265,2.71977666,2.78534044,3.693900139,1.973794481,0.913305346,0.709030415,2.192803082,1.674360702,3.250184835,2.984626281,0.386176529,-4.438682244,2.03865906
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Europe & Central Asia (all income levels),ECS,0.590713284,-0.047821564,-0.557477183,1.815408705,2.405884645,1.826606505,3.255498256,2.689505411,2.815215508,4.114588738,2.075389516,1.598984793,1.723808008,3.011610284,2.396230015,3.684554489,3.543726668,0.601922308,-4.402880644,2.53276477
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Europe & Central Asia (developing only),ECA,-5.024710287,-9.568659825,-4.406653192,-9.356185565,0.249520892,1.278390902,3.550037523,-0.660297116,1.193356578,7.55966727,1.614861003,5.549357188,6.59825919,8.482378732,7.244096364,7.956892359,7.277099731,3.89757497,-6.011029144,5.836539746
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,European Union,EUU,1.233635965,0.875095056,-0.23367633,2.872122152,2.642877105,1.831700147,3.162601275,2.948171046,2.992066462,3.862787125,2.167365023,1.334554891,1.404105185,2.544871987,1.941615925,3.313638733,3.189628296,0.257151702,-4.407920723,2.194081828
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Faeroe Islands,FRO,,,,,,,,,,,,,,,,,,,,
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Fiji,FJI,-2.7,6.1,2.130031981,5.1,2.5,4.8,-2.2,1.3,8.8,-1.7,2,3.2,1,5.3,0.7,1.843935601,-0.850822462,1.03252103,-1.272367571,-0.2
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Finland,FIN,-5.999925801,-3.484987518,-0.810697527,3.653735158,3.962453639,3.569447367,6.205788375,5.031041859,3.908371415,5.323751325,2.283747494,1.834129602,2.012433367,4.124870964,2.916059866,4.410592331,5.335225212,0.293570445,-8.354312972,3.731524746
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,France,FRA,1.039281822,1.477845803,-0.66736463,2.247379543,2.047203428,1.067504956,2.183720753,3.37820423,3.291950779,3.679946733,1.835734121,0.928873553,0.89950441,2.544735449,1.826486776,2.466905737,2.285414597,-0.080667606,-3.147051384,1.663093831
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,French Polynesia,PYF,4.899996203,0.89999758,0.100003234,0.800002278,0.499993912,0.30000031,1.900004145,6.199995771,4.000004643,4.000000343,,,,,,,,,,
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Gabon,GAB,6.112503481,-3.09014565,3.946555009,3.712754839,4.973847763,3.625049023,5.738367394,3.477833588,-8.932622804,-1.882966396,2.131679953,-0.267154255,2.475192183,1.3460156,3.021595857,1.18118769,5.553353887,2.323450725,-1.406117818,6.605103139
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Gambia, The",GMB,3.107039397,3.378689083,3.01210062,0.154346248,0.881848587,2.223545145,4.899998946,3.499998461,6.4,5.5,5.8,-3.250000378,6.87,7.05,0.264773223,3.3453836,6.002220988,6.301398565,6.652212477,6.11716873
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Georgia,GEO,-21.10000024,-44.89999971,-29.30000146,-10.39999522,2.599997248,11.20000232,10.5190396,3.104904464,2.869256656,1.838341147,4.805451742,5.473839393,11.05810101,5.857330238,9.599640575,9.383276612,12.344,2.314047096,-3.775773961,6.253027581
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Germany,DEU,5.108261509,1.911886949,-1.002097413,2.471751412,1.677004365,0.790781744,1.737278637,1.861848628,1.871079386,3.057649432,1.514371072,0.010148163,-0.375443937,1.161132614,0.684655658,3.7,3.269045323,1.083201046,-5.127020785,3.690360273
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ghana,GHA,5.28182614,3.87941917,4.85,3.3,4.112418938,4.602460956,4.196357878,4.700390795,4.399996536,3.7,4,4.5,5.2,5.6,5.900003848,6.4,6.45973558,8.430504083,3.991472576,8.007257129
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Greece,GRC,3.100000002,0.7,-1.6,2.000000001,2.099719775,2.358402042,3.637608175,3.36368354,3.419391619,4.477405703,4.197046359,3.439148367,5.94337579,4.367631973,2.280343689,5.542958255,2.996193097,-0.156864664,-3.250609514,-3.516718195
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Greenland,GRL,-0.113464448,-5.111700114,-5.027932961,5.924369748,3.728679096,1.529636711,1.468926554,7.757980698,1.377884947,7.10159701,1.269035533,-0.971177945,-0.3796267,2.667513496,1.979585524,4.468980892,5.513059779,0.345909084,-5.411986294,
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Grenada,GRD,2.29690837,-0.296427121,-2.63966484,2.753408017,2.503938001,4.057406758,4.608853403,6.541908294,10.07249738,12.61662796,-3.912021304,2.141747258,8.444116478,-6.47173979,12.03926529,-1.929128745,6.284177746,1.686782183,-5.679622613,-1.268286706
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guam,GUM,,,,,,,,,,,,,,,,,,,,
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guatemala,GTM,3.658248761,4.838338798,3.927131964,4.033741494,4.948547484,2.957779916,4.364089954,4.993527779,3.847062231,3.6088687,2.332544301,3.866638363,2.530837955,3.152030513,3.260162692,5.379793908,6.304011639,3.281095312,0.526037754,2.909964231
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guinea,GIN,2.613423005,3.270947302,5.044144543,3.970099106,4.607673201,5.222404523,4.650740976,4.832975264,4.672198122,1.882240486,2.883982627,3.76896877,5.418066385,2.338839351,37.75626245,2.49664396,1.757699661,4.936961661,-0.280152861,1.936211009
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guinea-Bissau,GNB,5.1,1.1,2.1,3.2,4.4,11.6,6.5,-28.09997974,7.8,7.5,0.2,-7.1,-0.629291998,2.21703374,3.463345702,2.136370453,3.202154384,3.221570726,2.995742558,3.472523585
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guyana,GUY,5.984609929,7.831446663,8.213838043,8.52330931,4.986313641,7.883466693,6.226948398,-1.708567161,2.969880996,-1.376727501,2.249999292,1.051000772,-1.005255282,3.293924792,-1.956911131,5.129609346,7.020313451,1.976647058,3.31862417,4.370869417
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Haiti,HTI,,-5.309932786,-5.426295449,-11.95062964,9.897707899,4.136861157,2.706281553,2.183722804,2.712719817,0.86756238,-1.042776678,-0.253826629,0.362430598,-3.519016519,1.799792944,2.252992255,3.343279015,0.843944329,2.877697842,-5.416012559
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Heavily indebted poor countries (HIPC),HPC,0.713710718,-0.567229451,1.259199187,-0.269694413,4.911741213,5.415532536,4.608936559,3.711335388,3.279175009,3.029489759,4.516085146,3.471209137,4.04502718,5.293451684,6.631212384,6.190459477,5.82381577,5.895570969,3.719775139,5.400492022
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,High income,HIC,1.34237322,2.03350016,1.423152367,3.179337133,2.669096629,2.948932654,3.49559347,2.28368016,3.305543656,3.934225119,1.369742695,1.589020969,2.088632299,3.160348247,2.528283401,2.929922628,2.654699874,0.058653334,-3.749209376,3.279493655
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,High income: nonOECD,NOC,5.133291459,5.224001271,5.074281381,5.541940394,4.292494241,4.517219207,5.106875807,1.115786466,3.286311554,6.404743194,0.580927657,3.044741475,5.072721216,7.13264629,5.509731382,6.086599661,5.222624423,2.73702269,-1.282744463,7.331395504
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,High income: OECD,OEC,1.209902982,1.917689096,1.282238928,3.08473974,2.602547256,2.883596013,3.427399693,2.333911173,3.306365779,3.828637381,1.404521725,1.525359215,1.956178732,2.978914937,2.386614034,2.775351562,2.524906695,-0.079448815,-3.879735027,3.060749518
